0,compartment,compartmentno,season,month,week,date,altitude,minaltitude,maxaltitude,ibex,propobsvibex2018,ibexdensity2018,popobsFULL,ibexdensity,FEC_ibex,FEC_ibexnew,weight_ibex,sheep,propobsvliv2018,sheepdensity2018,propobsvlivFULL,sheepdensity,FEC_sheep,weight_sheep,density2018,density
1,A,1,Winter,January,1,01/01/2018,1400,900,1800,0.04,0.777777778,0.0389,0.708333333,0.028333333,377,122.6,56.5445,0,0,0,0,0,0,0,0.0389,0.035416667
2,B,2,Winter,January,1,01/01/2018,2000,1800,2200,0.04,0.222222222,0.0111,0.291666667,0.011666667,377,122.6,56.5445,0,0,0,0,0,0,0,0.0111,0.014583333
3,C,3,Winter,January,1,01/01/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,A,1,Winter,January,2,08/01/2018,1400,900,1800,0.04,0.888888889,0.0444,0.739130435,0.029565217,339,122.6,56.5445,0,0,0,0,0,0,0,0.0444,0.036956522
5,B,2,Winter,January,2,08/01/2018,2000,1800,2200,0.04,0.111111111,0.0056,0.260869565,0.010434783,339,122.6,56.5445,0,0,0,0,0,0,0,0.0056,0.013043478
6,C,3,Winter,January,2,08/01/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,A,1,Winter,January,3,15/01/2018,1400,900,1800,0.04,0.888888889,0.0444,0.782608696,0.031304348,412,122.6,56.5445,0,0,0,0,0,0,0,0.0444,0.039130435
8,B,2,Winter,January,3,15/01/2018,2000,1800,2200,0.04,0.111111111,0.0056,0.217391304,0.008695652,412,122.6,56.5445,0,0,0,0,0,0,0,0.0056,0.010869565
9,C,3,Winter,January,3,15/01/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,A,1,Winter,January,4,22/01/2018,1400,900,1800,0.04,0.888888889,0.0444,0.869565217,0.034782609,682,122.6,56.5445,0,0,0,0,0,0,0,0.0444,0.043478261
11,B,2,Winter,January,4,22/01/2018,2000,1800,2200,0.04,0.111111111,0.0056,0.130434783,0.005217391,682,122.6,56.5445,0,0,0,0,0,0,0,0.0056,0.006521739
12,C,3,Winter,January,4,22/01/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,A,1,Winter,February,5,29/01/2018,1400,900,1800,0.04,0.888888889,0.0444,0.863636364,0.034545455,488,254.2,56.5445,0,0,0,0,0,0,0,0.0444,0.043181818
14,B,2,Winter,February,5,29/01/2018,2000,1800,2200,0.04,0.111111111,0.0056,0.136363636,0.005454545,488,254.2,56.5445,0,0,0,0,0,0,0,0.0056,0.006818182
15,C,3,Winter,February,5,29/01/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,A,1,Winter,February,6,05/02/2018,1400,900,1800,0.04,0.777777778,0.0389,0.772727273,0.030909091,170,254.2,56.5445,0,0,0,0,0,0,0,0.0389,0.038636364
17,B,2,Winter,February,6,05/02/2018,2000,1800,2200,0.04,0.222222222,0.0111,0.227272727,0.009090909,170,254.2,56.5445,0,0,0,0,0,0,0,0.0111,0.011363636
18,C,3,Winter,February,6,05/02/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,A,1,Winter,February,7,12/02/2018,1400,900,1800,0.04,0.888888889,0.0444,0.727272727,0.029090909,574,254.2,56.5445,0,0,0,0,0,0,0,0.0444,0.036363636
20,B,2,Winter,February,7,12/02/2018,2000,1800,2200,0.04,0.111111111,0.0056,0.227272727,0.009090909,574,254.2,56.5445,0,0,0,0,0,0,0,0.0056,0.011363636
21,C,3,Winter,February,7,12/02/2018,2500,2200,2900,0.04,0,0,0.045454545,0.001818182,574,254.2,56.5445,0,0,0,0,0,0,0,0,0.002272727
22,A,1,Winter,February,8,19/02/2018,1400,900,1800,0.04,0.888888889,0.0444,0.727272727,0.029090909,203,254.2,56.5445,0,0,0,0,0,0,0,0.0444,0.036363636
23,B,2,Winter,February,8,19/02/2018,2000,1800,2200,0.04,0.111111111,0.0056,0.272727273,0.010909091,203,254.2,56.5445,0,0,0,0,0,0,0,0.0056,0.013636364
24,C,3,Winter,February,8,19/02/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,A,1,Spring,March,9,26/02/2018,1400,900,1800,0.04,0.875,0.0438,0.714285714,0.028571429,531,136.7,56.5445,0,0,0,0,0,0,0,0.0438,0.035714286
26,B,2,Spring,March,9,26/02/2018,2000,1800,2200,0.04,0.125,0.0063,0.285714286,0.011428571,531,136.7,56.5445,0,0,0,0,0,0,0,0.0063,0.014285714
27,C,3,Spring,March,9,26/02/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,A,1,Spring,March,10,05/03/2018,1400,900,1800,0.04,0.875,0.0438,0.857142857,0.034285714,683,136.7,56.5445,0,0,0,0,0,0,0,0.0438,0.042857143
29,B,2,Spring,March,10,05/03/2018,2000,1800,2200,0.04,0.125,0.0063,0.142857143,0.005714286,683,136.7,56.5445,0,0,0,0,0,0,0,0.0063,0.007142857
30,C,3,Spring,March,10,05/03/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,A,1,Spring,March,11,12/03/2018,1400,900,1800,0.04,0.875,0.0438,0.85,0.034,195,136.7,56.5445,0,0,0,0,0,0,0,0.0438,0.0425
32,B,2,Spring,March,11,12/03/2018,2000,1800,2200,0.04,0.125,0.0063,0.15,0.006,195,136.7,56.5445,0,0,0,0,0,0,0,0.0063,0.0075
33,C,3,Spring,March,11,12/03/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,A,1,Spring,March,12,19/03/2018,1400,900,1800,0.04,0.875,0.0438,0.7,0.028,561,136.7,56.5445,0,0,0,0,0,0,0,0.0438,0.035
35,B,2,Spring,March,12,19/03/2018,2000,1800,2200,0.04,0.125,0.0063,0.3,0.012,561,136.7,56.5445,0,0,0,0,0,0,0,0.0063,0.015
36,C,3,Spring,March,12,19/03/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,A,1,Spring,March,13,26/03/2018,1400,900,1800,0.04,0.875,0.0438,0.75,0.03,582,136.7,56.5445,0,0,0,0,0,0,0,0.0438,0.0375
38,B,2,Spring,March,13,26/03/2018,2000,1800,2200,0.04,0.125,0.0063,0.25,0.01,582,136.7,56.5445,0,0,0,0,0,0,0,0.0063,0.0125
39,C,3,Spring,March,13,26/03/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,A,1,Spring,April,14,02/04/2018,1400,900,1800,0.04,0.833333333,0.0417,0.823529412,0.032941176,537,122.8,56.5445,0,0,0,0,0,0,0,0.0417,0.041176471
41,B,2,Spring,April,14,02/04/2018,2000,1800,2200,0.04,0.166666667,0.0083,0.176470588,0.007058824,537,122.8,56.5445,0,0,0,0,0,0,0,0.0083,0.008823529
42,C,3,Spring,April,14,02/04/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,A,1,Spring,April,15,09/04/2018,1400,900,1800,0.04,0.666666667,0.0333,0.75,0.03,339,122.8,56.5445,0,0,0,0,0,0,0,0.0333,0.0375
44,B,2,Spring,April,15,09/04/2018,2000,1800,2200,0.04,0.333333333,0.0167,0.25,0.01,339,122.8,56.5445,0,0,0,0,0,0,0,0.0167,0.0125
45,C,3,Spring,April,15,09/04/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,A,1,Spring,April,16,16/04/2018,1400,900,1800,0.04,0.6,0.03,0.615384615,0.024615385,344,122.8,56.5445,0,0,0,0,0,0,0,0.03,0.030769231
47,B,2,Spring,April,16,16/04/2018,2000,1800,2200,0.04,0.4,0.02,0.230769231,0.009230769,344,122.8,56.5445,0,0,0,0,0,0,0,0.02,0.011538462
48,C,3,Spring,April,16,16/04/2018,2500,2200,2900,0.04,0,0,0.153846154,0.006153846,344,122.8,56.5445,0,0,0,0,0,0,0,0,0.007692308
49,A,1,Spring,April,17,23/04/2018,1400,900,1800,0.04,0.8,0.04,0.666666667,0.026666667,437,122.8,56.5445,0,0,0,0,0,0,0,0.04,0.033333333
50,B,2,Spring,April,17,23/04/2018,2000,1800,2200,0.04,0.2,0.01,0.333333333,0.013333333,437,122.8,56.5445,0,0,0,0,0,0,0,0.01,0.016666667
51,C,3,Spring,April,17,23/04/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,A,1,Spring,May,18,30/04/2018,1400,900,1800,0.04,0.75,0.0375,0.857142857,0.034285714,480,295.1,56.5445,0,0,0,0,0,0,0,0.0375,0.042857143
53,B,2,Spring,May,18,30/04/2018,2000,1800,2200,0.04,0.25,0.0125,0.142857143,0.005714286,480,295.1,56.5445,0,0,0,0,0,0,0,0.0125,0.007142857
54,C,3,Spring,May,18,30/04/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,A,1,Spring,May,19,07/05/2018,1400,900,1800,0.04,0.666666667,0.0333,0.5,0.02,439,295.1,56.5445,0,0,0,0,0,0,0,0.0333,0.025
56,B,2,Spring,May,19,07/05/2018,2000,1800,2200,0.04,0.333333333,0.0167,0.5,0.02,439,295.1,56.5445,0,0,0,0,0,0,0,0.0167,0.025
57,C,3,Spring,May,19,07/05/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,A,1,Spring,May,20,14/05/2018,1400,900,1800,0.04,1,0.05,0.5,0.02,181,295.1,56.5445,0,0,0,0,0,0,0,0.05,0.025
59,B,2,Spring,May,20,14/05/2018,2000,1800,2200,0.04,0,0,0.5,0.02,181,295.1,56.5445,0,0,0,0,0,0,0,0,0.025
60,C,3,Spring,May,20,14/05/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,A,1,Spring,May,21,21/05/2018,1400,900,1800,0.04,0.5,0.025,0.090909091,0.003636364,365,295.1,56.5445,0,0,0,0,0,0,0,0.025,0.004545455
62,B,2,Spring,May,21,21/05/2018,2000,1800,2200,0.04,0.5,0.025,0.909090909,0.036363636,365,295.1,56.5445,0,0,0,0,0,0,0,0.025,0.045454545
63,C,3,Spring,May,21,21/05/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,A,1,Summer,June,22,28/05/2018,1400,900,1800,0.04,0.125,0.0063,0.058823529,0.002352941,205,265.4,56.5445,0,0,0,0,0,0,0,0.0063,0.002941176
65,B,2,Summer,June,22,28/05/2018,2000,1800,2200,0.04,0.875,0.0438,0.941176471,0.037647059,205,265.4,56.5445,0,0,0,0,0,0,0,0.0438,0.047058824
66,C,3,Summer,June,22,28/05/2018,2500,2200,2900,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,A,1,Summer,June,23,04/06/2018,1400,900,1800,0.04,0,0,0.052631579,0.002105263,312,265.4,56.5445,0,0,0,0,0,0,0,0,0.002631579
68,B,2,Summer,June,23,04/06/2018,2000,1800,2200,0.04,1,0.05,0.842105263,0.033684211,312,265.4,56.5445,0,0,0,0,0,0,0,0.05,0.042105263
69,C,3,Summer,June,23,04/06/2018,2500,2200,2900,0.04,0,0,0.105263158,0.004210526,312,265.4,56.5445,0,0,0,0,0,0,0,0,0.005263158
70,A,1,Summer,June,24,11/06/2018,1400,900,1800,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,B,2,Summer,June,24,11/06/2018,2000,1800,2200,0.04,0.785714286,0.0393,0.458333333,0.018333333,215,265.4,56.5445,0,0,0,0,0,0,0,0.0393,0.022916667
72,C,3,Summer,June,24,11/06/2018,2500,2200,2900,0.04,0.214285714,0.0107,0.541666667,0.021666667,215,265.4,56.5445,0,0,0,0,0,0,0,0.0107,0.027083333
73,A,1,Summer,June,25,18/06/2018,1400,900,1800,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,B,2,Summer,June,25,18/06/2018,2000,1800,2200,0.04,0.4375,0.0219,0.192307692,0.007692308,616,265.4,56.5445,0,0,0,0,0,0,0,0.0219,0.009615385
75,C,3,Summer,June,25,18/06/2018,2500,2200,2900,0.04,0.5625,0.0281,0.807692308,0.032307692,616,265.4,56.5445,0,0,0,0,0,0,0,0.0281,0.040384615
76,A,1,Summer,June,26,25/06/2018,1400,900,1800,0.04,0,0,0,0,0,0,0,1.525,0,0,0.642857143,0.980357143,68,30.25,0,0.980357143
77,B,2,Summer,June,26,25/06/2018,2000,1800,2200,0.04,0.0625,0.0031,0.076923077,0.003076923,435,265.4,56.5445,1.525,0,0,0.357142857,0.544642857,68,30.25,0.0031,0.548489011
78,C,3,Summer,June,26,25/06/2018,2500,2200,2900,0.04,0.9375,0.0469,0.923076923,0.036923077,435,265.4,56.5445,1.525,0,0,0,0,0,0,0.0469,0.046153846
79,A,1,Summer,July,27,02/07/2018,1400,900,1800,0.04,0,0,0,0,0,0,0,1.525,0,0,0.409090909,0.623863636,68,30.25,0,0.623863636
80,B,2,Summer,July,27,02/07/2018,2000,1800,2200,0.04,0.0625,0.0031,0.038461538,0.001538462,247,319.5,56.5445,1.525,0,0,0.590909091,0.901136364,68,30.25,0.0031,0.903059441
81,C,3,Summer,July,27,02/07/2018,2500,2200,2900,0.04,0.9375,0.0469,0.961538462,0.038461538,247,319.5,56.5445,1.525,0,0,0,0,0,0,0.0469,0.048076923
82,A,1,Summer,July,28,09/07/2018,1400,900,1800,0.04,0,0,0,0,0,0,0,1.525,0.727272727,1.109090909,0.363636364,0.554545455,68,30.25,1.109090909,0.554545455
83,B,2,Summer,July,28,09/07/2018,2000,1800,2200,0.04,0.0625,0.0031,0.038461538,0.001538462,126,319.5,56.5445,1.525,0.272727273,0.415909091,0.333333333,0.508333333,68,30.25,0.419009091,0.51025641
84,C,3,Summer,July,28,09/07/2018,2500,2200,2900,0.04,0.9375,0.0469,0.961538462,0.038461538,126,319.5,56.5445,1.525,0,0,0.303030303,0.462121212,68,30.25,0.0469,0.510198135
